DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
187.383,82.819,88.037,141.567,199.372,794.364,1349.656,1241.463,749.536,392.171,152.481,174.916,139.834,111.007,115.069,109.142,326.06,655.907,1300.04,959.429,357.299,79.052,64.171,64.666,76.927,79.255,41.771,9.77,111.449,587.246,950.625,697.611,302.143,190.294,245.85,224.592,176.369,121.863,74.528,105.131,249.416,924.664,861.676,1011.27,768.719,423.186,162.021,59.092,69.907,117.87,99.78,82.592,276.374,603.675,810.729,423.861,316.284,200.913,112.149,119.251
210.353,98.697,96.495,127.351,256.698,757.759,1025.382,765.175,328.208,215.965,64.171,64.666,76.927,79.255,42.273,9.77,111.449,587.246,950.625,697.611,302.143,190.294,245.85,224.592,176.369,121.863,74.375,105.131,249.416,924.664,861.676,1011.27,768.719,423.186,162.021,59.092,69.907,117.87,99.78,82.592,276.374,603.675,810.729,423.861,316.284,200.913,112.149,119.251,109.542,85.034,77.433,165.253,357.626,585.796,730.267,650.288,401.956,443.669,289.941,206.417
191.254,129.483,107.047,127.759,336.924,704.202,1331.084,941.87,486.488,254.29,245.85,224.592,176.369,121.863,74.528,105.131,249.416,924.664,861.676,1011.27,768.719,423.186,162.021,59.092,69.907,117.87,98.929,82.592,276.374,603.675,810.729,423.861,316.284,200.913,112.149,119.251,109.542,85.034,77.433,165.253,357.626,585.796,730.267,650.288,401.956,443.669,289.941,206.417,117.742,103.097,91.926,127.672,231.681,702.309,779.065,521.439,204.004,153.549,82.553,37.802
191.974,87.658,75.394,92.507,216.676,784.596,1274.21,1193.53,498.067,256.165,162.021,59.092,69.907,117.87,99.78,82.592,276.374,603.675,810.729,423.861,316.284,200.913,112.149,119.251,109.542,85.034,77.465,165.253,357.626,585.796,730.267,650.288,401.956,443.669,289.941,206.417,117.742,103.097,91.926,127.672,231.681,702.309,779.065,521.439,204.004,153.549,82.553,37.802,149.974,57.085,43.088,44.831,418.474,924.413,733.93,485.919,257.363,245.474,206.56,143.727
195.534,90.737,102.414,113.811,267.728,806.092,926.975,1042.217,689.921,363.711,112.149,119.251,109.542,85.034,77.433,165.253,357.626,585.796,730.267,650.288,401.956,443.669,289.941,206.417,117.742,103.097,92.514,127.672,231.681,702.309,779.065,521.439,204.004,153.549,82.553,37.802,149.974,57.085,43.088,44.831,418.474,924.413,733.93,485.919,257.363,245.474,206.56,143.727,132.321,89.533,88.191,132.513,226.929,924.775,956.176,934.565,458.432,282.656,299.013,284.768
189.694,85.51,95.249,127.603,291.841,728.332,1054.62,642.515,329.934,229.758,289.941,206.417,117.742,103.097,91.926,127.672,231.681,702.309,779.065,521.439,204.004,153.549,82.553,37.802,149.974,57.085,42.72,44.831,418.474,924.413,733.93,485.919,257.363,245.474,206.56,143.727,132.321,89.533,88.191,132.513,226.929,924.775,956.176,934.565,458.432,282.656,299.013,284.768,140.421,88.502,103.782,132.469,222.912,692.671,1208.717,772.553,485.391,344.451,254.298,194.77
187.383,82.805,87.705,151.489,352.283,703.185,985.216,767.132,343.264,316.914,82.553,37.802,149.974,57.085,43.088,44.831,418.474,924.413,733.93,485.919,257.363,245.474,206.56,143.727,132.321,89.533,89.675,132.513,226.929,924.775,956.176,934.565,458.432,282.656,299.013,284.768,140.421,88.502,103.782,132.469,222.912,692.671,1208.717,772.553,485.391,344.451,254.298,194.77,99.356,75.106,93.64,189.031,318.385,761.379,851.977,717.441,405.569,262.873,156.504,228.099
187.383,82.007,93.148,100.937,263.083,803.361,1218.139,838.287,353.186,241.761,206.56,143.727,132.321,89.533,88.191,132.513,226.929,924.775,956.176,934.565,458.432,282.656,299.013,284.768,140.421,88.502,104.514,132.469,222.912,692.671,1208.717,772.553,485.391,344.451,254.298,194.77,99.356,75.106,93.64,189.031,318.385,761.379,851.977,717.441,405.569,262.873,156.504,228.099,72.625,115.065,97.119,112.255,272.644,497.433,1044.875,704.714,425.335,256.804,158.573,91.856
192.912,86.559,84.242,121.786,360.119,1016.718,994.739,723.14,344.592,236.411,299.013,284.768,140.421,88.502,103.782,132.469,222.912,692.671,1208.717,772.553,485.391,344.451,254.298,194.77,99.356,75.106,97.516,189.031,318.385,761.379,851.977,717.441,405.569,262.873,156.504,228.099,72.625,115.065,97.119,112.255,272.644,497.433,1044.875,704.714,425.335,256.804,158.573,91.856,68.804,69.764,72.125,82.323,323.705,866.784,835.82,456.867,229.716,168.806,210.309,186.735
203.363,94.624,131.751,123.367,289.032,784.969,834.547,898.508,527.331,259.942,254.298,194.77,99.356,75.106,93.64,189.031,318.385,761.379,851.977,717.441,405.569,262.873,156.504,228.099,72.625,115.065,96.876,112.255,272.644,497.433,1044.875,704.714,425.335,256.804,158.573,91.856,68.804,69.764,72.125,82.323,323.705,866.784,835.82,456.867,229.716,168.806,210.309,186.735,106.817,90.643,87.771,129.811,257.333,713.246,1076.684,628.162,322.047,172.102,121.045,79.465
