DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,,,,,,,,,,,,,,,,,,,
91313.33521,76724.49584,43896.77559,20193.30964,19923.73326,21846.44715,25388.88465,51775.65498,65194.44225,101360.1524,101362.9841,101170.4295,95773.23854,89354.37576,76118.23216,62922.01531,30959.37472,12545.49571,0,1226.402626,6773.672873,10101.18552,63179.13227,101360.1524,101362.9841,101360.1524,95773.23854,88153.17513,75141.30095,65503.66221,31916.7673,9804.708132,3681.190057,4211.847762,8451.446034,37138.39381,88517.61294,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,72834.04429,60541.13485,29518.04722,10159.80139,0,1490.881973,293.0793622,18485.80379,34746.18661,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76778.86419,63068.97974,30818.07365,12143.96283,16926.96139,21165.71015,23618.23224,39031.65817,40588.23523,43237.27623,37526.05144,37345.67313,40960.03543,39164.74735,30328.47537,35296.09977,23092.67156,27648.28584,33888.18616,39559.48419,48383.8631,65881.97528,97836.68715,101362.9841
91313.33521,76724.49584,45179.24557,20838.36741,0,8655.327329,11628.31305,18007.53225,58269.55741,101362.9841,101362.9841,101360.1524,95773.23854,88054.34933,69732.78325,55424.847,21837.66892,3306.841345,9472.83469,9164.464231,11704.76854,40391.99948,90072.20782,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,72834.04429,60541.13485,29518.04722,9463.7733,0,1490.881973,293.0793622,19489.06967,35749.45249,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76778.86419,63068.97974,30818.07365,12143.96283,8730.366973,11278.6,17565.78945,37733.04759,41364.11683,45002.26528,39291.04049,39123.40476,42731.82052,40859.79379,32024.37132,36987.46502,24782.05463,21408.95187,20626.55739,24197.31175,28551.87642,58275.50395,93493.73239,101362.9841,101362.9841,101362.9841,95773.23854,92378.04864,76993.50588,63131.55997,29934.87121,11173.5445,8481.178723,10016.51814,13513.08236,44630.46508,83459.6578,94047.32674
91313.33521,76724.49584,45662.89731,21633.22129,20168.10765,22378.80386,28316.84659,60848.93897,76670.977,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,72834.04429,60541.13485,29518.04722,10159.80139,0,1490.881973,293.0793622,18485.80379,34746.18661,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76778.86419,63068.97974,30818.07365,12938.81671,9525.504025,12117.06183,18448.42555,38330.81622,41868.72303,45295.62781,39592.04857,39392.13163,43029.14741,41252.26528,32513.12009,36964.2452,25644.86895,30200.48323,36440.38354,41996.14884,49412.8973,65881.97528,97596.84346,101362.9841,101362.9841,101362.9841,95773.23854,92378.04864,76993.50588,63131.55997,29934.87121,11173.5445,17259.40117,19929.96297,25411.53813,60630.89925,86237.82362,95634.20283,96924.88469,98298.81809,88923.95969,73111.83255,60749.26367,60662.61412,27190.96877,30577.38046,33695.34843,33656.55435,49412.8973,65881.97528,97216.83138,101362.9841
91313.33521,76724.49584,44145.3975,18911.406,0,2222.022952,5195.291844,7156.516639,41527.7882,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,76778.86419,63068.97974,30818.07365,12143.96283,8730.366973,11278.6,17565.78945,37733.04759,41364.11683,45002.26528,39291.04049,39123.40476,42731.82052,40859.79379,32024.37132,36987.46502,24782.3378,29500.20761,35740.10793,41334.95048,49823.49158,65881.97528,97678.96232,101362.9841,101362.9841,101362.9841,95773.23854,92378.04864,76993.50588,63131.55997,29934.87121,11173.5445,17259.40117,19516.82018,24584.96938,58950.2944,86237.82362,95634.20283,96924.88469,98298.81809,88923.95969,73111.83255,60749.26367,60662.61412,27190.96877,30577.38046,33695.34843,33656.55435,44573.54822,65881.97528,96741.6747,101362.9841,101103.3186,98642.86778,98751.3213,92965.05687,80714.33953,65578.98502,34858.60449,11816.62008,4944.404583,9863.607173,17275.54177,58910.08448,61372.80063,101362.9841
91313.33521,76724.49584,44562.78782,20400.02262,18840.61388,21170.80719,26396.39806,28215.47228,64854.64009,70166.59734,80141.20655,84669.63666,78731.8771,68614.55098,65419.27801,86415.08708,53158.93294,27585.42244,33825.32276,35931.24664,44640.09281,65881.97528,97596.84346,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76993.50588,63131.55997,29934.87121,11937.81619,18023.67286,20319.03644,25425.69655,59870.02558,87234.29345,95680.64246,96954.33421,98314.10919,89008.06072,73198.19893,60886.88354,60798.81815,27327.1728,30577.38046,24917.12599,27247.60246,44538.7185,65881.97528,97216.83138,101362.9841,101079.5324,98632.67371,98717.90742,92930.79348,80714.33953,65578.98502,34858.60449,11816.62008,4944.404583,10392.2827,18333.17599,58910.08448,61372.80063,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76984.72766,63568.77208,31386.9591,12632.99477,0,7354.168228,12814.22259,20819.96146,78431.43535,101360.1524
91313.33521,76724.49584,44105.18758,19560.99446,26679.56652,27507.55112,35586.06428,65881.97528,87776.56107,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,76484.08581,46580.92948,27429.39662,25218.70041,29548.91259,31806.3316,36874.4808,65881.97528,96741.6747,101362.9841,95317.33731,95392.09379,88431.24656,72543.79661,58750.9438,58683.83288,25212.18753,31537.60472,25877.63343,28208.1099,45499.22594,65881.97528,97836.68715,101362.9841,100645.7183,98448.04787,98104.84769,92301.30998,80714.33953,65578.98502,34858.60449,11816.62008,4944.404583,8268.519205,14085.649,58910.08448,61372.80063,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76984.72766,63568.77208,31386.9591,12632.99477,0,7354.168228,12341.04808,20819.96146,78431.43535,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78543.00373,65201.23829,33550.36618,10264.57372,11726.85568,7023.710629,16907.42276,54599.69409,90011.60977,101360.1524
91313.33521,76724.49584,44422.33626,20090.23632,27734.93539,31586.02653,35652.3257,65881.97528,96741.6747,101362.9841,101362.9841,100811.9382,95699.33157,85448.06677,67841.2179,65844.31387,32372.66853,20247.11165,16342.78484,19522.76671,36813.88275,64780.44995,89491.99563,101360.1524,101362.9841,98866.00453,99491.80684,93726.2137,80714.33953,65578.98502,34858.60449,11037.34046,5864.135761,8338.744984,14155.87478,58618.13779,61443.30958,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76984.72766,63568.77208,31386.9591,12632.99477,0,7354.168228,12341.04808,20819.96146,78431.43535,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78543.00373,65201.23829,33550.36618,10264.57372,11726.85568,7023.710629,16907.42276,54599.69409,90011.60977,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,75641.9428,62286.86844,30651.00426,12385.22236,11391.58422,14443.57394,20705.27823,42385.78865,93445.59375,101362.9841
91313.33521,76724.49584,44035.24497,19155.21405,16552.04634,21044.79722,29060.44698,65881.97528,92705.10822,101360.1524,101362.9841,100571.8114,100660.4431,94320.30114,79443.76262,64308.40812,33588.02759,10546.04318,3673.827677,6997.942298,14514.08289,59338.51837,61801.23452,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,76984.72766,63568.77208,31386.9591,11984.82215,0,8121.554771,13108.43462,21870.51647,79481.99036,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78543.00373,65201.23829,33550.36618,10264.57372,11726.85568,7023.710629,18595.38999,59776.01365,90011.60977,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,75641.9428,62286.86844,30651.00426,12385.22236,11391.58422,16131.54117,24081.21268,49250.3586,96934.22925,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,78499.96212,66021.57733,32256.56946,17127.44466,14089.89653,20018.87787,28050.1019,65881.97528,96934.22925,96550.53598
91313.33521,76724.49584,44320.67878,19305.5765,10116.47661,11886.56269,18098.14616,59167.48462,78487.21954,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,76984.72766,63568.77208,31386.9591,12632.99477,0,7354.168228,12341.04808,20819.96146,78431.43535,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78543.00373,65201.23829,33550.36618,9546.458492,11742.42994,8004.606195,19635.1846,60936.72119,90992.7885,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,75641.9428,62286.86844,30651.00426,12385.22236,11391.58422,14443.57394,20705.27823,42385.78865,93445.59375,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,78499.96212,66021.57733,32256.56946,17127.44466,14089.89653,18330.91064,24674.16745,65881.97528,93445.59375,92181.52972,91776.88198,94210.14861,101362.9841,97793.92872,96150.98528,83252.66165,50302.32945,27276.48565,24805.84078,25485.16193,28316.84659,62152.36342,93445.59375,101360.1524
91313.33521,76724.49584,44927.79197,22196.1602,2046.741672,5245.129494,8560.465893,33098.14614,65027.08968,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,78543.00373,65201.23829,33550.36618,10264.57372,11726.85568,7023.710629,18595.38999,59776.01365,90011.60977,101360.1524,101362.9841,101360.1524,95773.23854,92378.04864,75641.9428,62286.86844,30651.00426,12095.25785,11101.61971,14153.60943,20415.31372,42095.82414,93445.59375,101362.9841,101362.9841,101360.1524,95773.23854,92378.04864,78499.96212,66021.57733,32256.56946,17127.44466,16898.92771,22742.39217,30688.38249,65881.97528,96758.6648,96512.87458,94033.73466,92852.07265,100312.1459,97793.92872,93562.8255,80664.50188,47714.16968,24688.32587,26782.35668,31516.65026,37996.9606,65881.97528,94440.93091,101360.1524,101362.9841,99206.93936,98738.57872,93779.16621,86070.18789,73382.54161,40760.40166,17583.06272,20711.22477,26126.53851,34507.47559,65228.9888,60509.13681,76600.75122
