DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
97795.0628,91285.01967,77021.82384,64187.21294,63787.37906,77412.8795,88995.03626,100580.3079,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,88984.84219,91369.40388,91369.40388,91369.40388,93102.96125,100716.7951,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,88984.84219,91369.40388,91369.40388,91369.40388,93102.96125,100716.7951,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,88984.84219,91369.40388,91369.40388,91369.40388,93102.96125,100716.7951,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,74525.69378,49967.90822,50630.23927,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,88984.84219,91369.40388,91369.40388,91369.40388,93102.96125,100716.7951,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,74525.69378,49967.90822,50630.23927,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,53165.72975,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,88984.84219,91369.40388,91369.40388,91369.40388,93102.96125,100716.7951,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,74525.69378,49967.90822,50630.23927,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,53165.72975,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,52891.62267,65157.91445,69090.55816,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,74525.69378,49967.90822,50630.23927,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,53165.72975,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,52891.62267,65157.91445,69090.55816,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,74525.69378,49967.90822,50630.23927,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,53165.72975,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,52891.62267,65157.91445,69090.55816,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,53165.72975,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,52891.62267,65157.91445,69090.55816,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,52891.62267,65157.91445,69090.55816,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013
97795.0628,91285.01967,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77021.82384,64187.21294,49967.90822,49967.90822,65881.97623,97836.68856,101362.9855,101362.9855,101362.9855,97793.93013,97793.93013,91369.40388,77779.86583,74866.62861,76179.39764,76950.46539,88973.79862,100601.5455,101362.9855,101362.9855,101362.9855,97793.93013
