DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
395.282,265.716,252.429,255.065,386.17,2791.294,4113.527,2178.687,760.929,854.54,575.297,278.697,344.497,204.148,215.85,266.226,596.83,2075.497,3779.833,3127.984,1515.697,844.74,1378.848,543.15,420.452,304.384,263.848,252.842,295.273,1739.452,3052.733,1865.516,1121.684,562.623,449.974,351.79,191.31,283.939,254.586,242.445,410.147,2796.623,4196.543,3356.994,1869.703,951.257,757.013,528.958,396.323,287.726,260.982,241.6,654.237,2640.858,3325.603,2324.654,1110.819,724.253,743.661,484.377
384.538,204.148,215.85,266.226,596.83,2075.497,3779.833,3127.984,1515.697,844.74,1378.848,543.15,420.452,304.384,264.086,252.842,295.273,1739.452,3052.733,1865.516,1121.684,562.623,449.974,351.79,191.31,283.939,254.266,242.445,410.147,2796.623,4196.543,3356.994,1869.703,951.257,757.013,528.958,396.323,287.726,260.982,241.6,654.237,2640.858,3325.603,2324.654,1110.819,724.253,743.661,484.377,348.635,250.277,219.904,206.181,467.68,1455.9,2895.827,945.415,716.442,684.08,845.019,614.947
416.238,304.384,264.086,252.842,295.273,1739.452,3052.733,1865.516,1121.684,562.623,449.974,351.79,191.31,283.939,254.586,242.445,410.147,2796.623,4196.543,3356.994,1869.703,951.257,757.013,528.958,396.323,287.726,260.597,241.6,654.237,2640.858,3325.603,2324.654,1110.819,724.253,743.661,484.377,348.635,250.277,219.904,206.181,467.68,1455.9,2895.827,945.415,716.442,684.08,845.019,614.947,351.684,263.597,225.282,230.165,332.937,2000.332,3967.027,2411.213,810.703,723.917,592.916,278.783
408.304,283.939,254.586,242.445,410.147,2796.623,4196.543,3356.994,1869.703,951.257,757.013,528.958,396.323,287.726,260.982,241.6,654.237,2640.858,3325.603,2324.654,1110.819,724.253,743.661,484.377,348.635,250.277,219.459,206.181,467.68,1455.9,2895.827,945.415,716.442,684.08,845.019,614.947,351.684,263.597,225.282,230.165,332.937,2000.332,3967.027,2411.213,810.703,723.917,592.916,278.783,203.535,206.703,177.511,167.319,499.73,1867.474,2223.097,1443.516,802.423,1093.873,1018.058,774.173
396.877,287.726,260.982,241.6,654.237,2640.858,3325.603,2324.654,1110.819,724.253,743.661,484.377,348.635,250.277,219.904,206.181,467.68,1455.9,2895.827,945.415,716.442,684.08,845.019,614.947,351.684,263.597,224.845,230.165,332.937,2000.332,3967.027,2411.213,810.703,723.917,592.916,278.783,203.535,206.703,177.511,167.319,499.73,1867.474,2223.097,1443.516,802.423,1093.873,1018.058,774.173,421.89,493.9,351.664,320.874,508.203,3867.645,3631.893,1751.4,778.039,612.507,548.668,556.327
387.014,250.277,219.904,206.181,467.68,1455.9,2895.827,945.415,716.442,684.08,845.019,614.947,351.684,263.597,225.282,230.165,332.937,2000.332,3967.027,2411.213,810.703,723.917,592.916,278.783,203.535,206.703,177.61,167.319,499.73,1867.474,2223.097,1443.516,802.423,1093.873,1018.058,774.173,421.89,493.9,351.664,320.874,508.203,3867.645,3631.893,1751.4,778.039,612.507,548.668,556.327,349.303,287.429,232.711,241.535,258.98,1916.461,4413.59,2033.258,1109.158,965.723,852.297,611.097
402.634,263.597,225.282,230.165,332.937,2000.332,3967.027,2411.213,810.703,723.917,592.916,278.783,203.535,206.703,177.511,167.319,499.73,1867.474,2223.097,1443.516,802.423,1093.873,1018.058,774.173,421.89,493.9,350.524,320.874,508.203,3867.645,3631.893,1751.4,778.039,612.507,548.668,556.327,349.303,287.429,232.711,241.535,258.98,1916.461,4413.59,2033.258,1109.158,965.723,852.297,611.097,348.155,284.365,271.304,234.339,661.777,2155.174,3034.783,2207.203,1085.387,832.41,617.219,589.35
346.459,206.703,177.511,167.319,499.73,1867.474,2223.097,1443.516,802.423,1093.873,1018.058,774.173,421.89,493.9,351.664,320.874,508.203,3867.645,3631.893,1751.4,778.039,612.507,548.668,556.327,349.303,287.429,232.441,241.535,258.98,1916.461,4413.59,2033.258,1109.158,965.723,852.297,611.097,348.155,284.365,271.304,234.339,661.777,2155.174,3034.783,2207.203,1085.387,832.41,617.219,589.35,295.997,347.484,254.661,269.429,576.237,1699.297,4190.407,2437.132,1225.745,1196.957,1249.703,477.833
406.735,493.9,351.664,320.874,508.203,3867.645,3631.893,1751.4,778.039,612.507,548.668,556.327,349.303,287.429,232.711,241.535,258.98,1916.461,4413.59,2033.258,1109.158,965.723,852.297,611.097,348.155,284.365,269.852,234.339,661.777,2155.174,3034.783,2207.203,1085.387,832.41,617.219,589.35,295.997,347.484,254.661,269.429,576.237,1699.297,4190.407,2437.132,1225.745,1196.957,1249.703,477.833,341.184,447.813,283.193,256.81,379.507,2236.681,3269,2193.742,745.897,857.5,685.942,375.503
368.753,287.429,232.711,241.535,258.98,1916.461,4413.59,2033.258,1109.158,965.723,852.297,611.097,348.155,284.365,271.304,234.339,661.777,2155.174,3034.783,2207.203,1085.387,832.41,617.219,589.35,295.997,347.484,254.286,269.429,576.237,1699.297,4190.407,2437.132,1225.745,1196.957,1249.703,477.833,341.184,447.813,283.193,256.81,379.507,2236.681,3269,2193.742,745.897,857.5,685.942,375.503,272.916,271.977,209.236,234.184,407.463,1674.116,4083.673,2374.374,779.506,496.167,809.648,545.48
