DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
185.543,123.16,89.399,169.249,212.679,845.37,2360.694,2401.03,1881.231,653.94,382.671,244.857,118.765,112.417,124.454,104.687,232.206,574.257,1925.717,1786.662,1283.094,693.649,328.229,209.62,154.539,142.434,119.851,123.663,170.779,561.047,1279.388,1737.15,1002.97,544.201,329.997,354.329,174.574,118.815,118.969,94.444,265.697,1003.352,1305.379,1992.013,1690.327,1005.17,391.289,222.834,135.341,113.379,97.466,74.846,235.456,638.731,1392.743,1126.448,1094.849,447.123,205.845,134.85
188.701,126.901,100.416,114.16,223.086,872.555,1762.195,1978.167,1072.128,494.137,328.229,209.62,154.539,142.434,119.365,123.663,170.779,561.047,1279.388,1737.15,1002.97,544.201,329.997,354.329,174.574,118.815,118.293,94.444,265.697,1003.352,1305.379,1992.013,1690.327,1005.17,391.289,222.834,135.341,113.379,97.466,74.846,235.456,638.731,1392.743,1126.448,1094.849,447.123,205.845,134.85,105.022,109.675,92.071,94.373,230.293,585.842,1471.092,1686.341,984.542,902.615,376.131,215.683
190.604,136.281,103.363,99.334,328.813,787.903,2415.818,1885.039,1255,596.03,329.997,354.329,174.574,118.815,118.969,94.444,265.697,1003.352,1305.379,1992.013,1690.327,1005.17,391.289,222.834,135.341,113.379,96.961,74.846,235.456,638.731,1392.743,1126.448,1094.849,447.123,205.845,134.85,105.022,109.675,92.071,94.373,230.293,585.842,1471.092,1686.341,984.542,902.615,376.131,215.683,140.235,138.369,106.698,132.452,179.878,628.02,1397.933,1462.85,1023.84,602.601,286.525,114.058
187.018,108.68,88.227,83.751,180.035,871.669,1977.158,2339.536,1003.319,565.818,391.289,222.834,135.341,113.379,97.466,74.846,235.456,638.731,1392.743,1126.448,1094.849,447.123,205.845,134.85,105.022,109.675,91.642,94.373,230.293,585.842,1471.092,1686.341,984.542,902.615,376.131,215.683,140.235,138.369,106.698,132.452,179.878,628.02,1397.933,1462.85,1023.84,602.601,286.525,114.058,148.14,99.832,91.804,111.741,367.067,1275.086,1412.958,1170.204,765.042,488.407,323.365,198.743
186.42,115.882,88.805,105.733,251.563,898.823,1466.092,2177.458,1274.767,780.192,205.845,134.85,105.022,109.675,92.071,94.373,230.293,585.842,1471.092,1686.341,984.542,902.615,376.131,215.683,140.235,138.369,106.936,132.452,179.878,628.02,1397.933,1462.85,1023.84,602.601,286.525,114.058,148.14,99.832,91.804,111.741,367.067,1275.086,1412.958,1170.204,765.042,488.407,323.365,198.743,181.322,154.253,102.67,141.413,234.368,1057.864,1157.737,1650.736,1387.363,623.717,249.164,215.975
190.267,116.181,98.143,92.375,248.73,902.233,2044.147,1534.584,985.754,449.477,376.131,215.683,140.235,138.369,106.698,132.452,179.878,628.02,1397.933,1462.85,1023.84,602.601,286.525,114.058,148.14,99.832,91.755,111.741,367.067,1275.086,1412.958,1170.204,765.042,488.407,323.365,198.743,181.322,154.253,102.67,141.413,234.368,1057.864,1157.737,1650.736,1387.363,623.717,249.164,215.975,125.849,110.147,96.714,101.444,126.308,615.251,1948.252,1769.277,1126.753,800.737,324.465,164.028
183.349,118.951,96.336,153.89,297.251,749.896,1751.074,1558.659,763.149,697.162,286.525,114.058,148.14,99.832,91.804,111.741,367.067,1275.086,1412.958,1170.204,765.042,488.407,323.365,198.743,181.322,154.253,103.339,141.413,234.368,1057.864,1157.737,1650.736,1387.363,623.717,249.164,215.975,125.849,110.147,96.714,101.444,126.308,615.251,1948.252,1769.277,1126.753,800.737,324.465,164.028,123.462,134.231,119.645,129.508,242.873,757.951,1379.755,1502.361,1132.984,513.102,260.5,260.728
172.299,119.066,96.777,82.641,225.854,822.047,2035.037,1982.068,1013.165,534.801,323.365,198.743,181.322,154.253,102.67,141.413,234.368,1057.864,1157.737,1650.736,1387.363,623.717,249.164,215.975,125.849,110.147,97.191,101.444,126.308,615.251,1948.252,1769.277,1126.753,800.737,324.465,164.028,123.462,134.231,119.645,129.508,242.873,757.951,1379.755,1502.361,1132.984,513.102,260.5,260.728,123.897,125.933,86.25,108.077,201.535,340.657,1422.675,1530.476,1145.86,565.093,278.302,165.46
184.391,126.288,90.364,109.976,298.885,1380.715,1752.484,1713.751,821.084,497.911,249.164,215.975,125.849,110.147,96.714,101.444,126.308,615.251,1948.252,1769.277,1126.753,800.737,324.465,164.028,123.462,134.231,119.418,129.508,242.873,757.951,1379.755,1502.361,1132.984,513.102,260.5,260.728,123.897,125.933,86.25,108.077,201.535,340.657,1422.675,1530.476,1145.86,565.093,278.302,165.46,95.615,68.514,74.607,87.815,197.008,962.315,1304.054,1374.846,802.535,366.513,235.884,137.099
219.312,132.907,140.649,125.318,259.549,1050.767,1485.283,1865.851,1245.781,524.883,324.465,164.028,123.462,134.231,119.645,129.508,242.873,757.951,1379.755,1502.361,1132.984,513.102,260.5,260.728,123.897,125.933,85.666,108.077,201.535,340.657,1422.675,1530.476,1145.86,565.093,278.302,165.46,95.615,68.514,74.607,87.815,197.008,962.315,1304.054,1374.846,802.535,366.513,235.884,137.099,109.158,99.275,95.26,147.437,214.006,817.994,2017.524,1445.314,1017.746,453.143,236.888,144.837
