year,inflow
1928-07-01,1828.95
1928-07-02,1927.786865
1928-07-03,1970.626587
1928-07-04,1986.691406
1928-07-05,2061.660889
1928-07-06,2120.56543
1928-07-07,2093.790772
1928-07-08,2029.531128
1928-07-09,2018.821167
1928-07-10,1927.786865
1928-07-11,1895.657105
1928-07-12,1863.527222
1928-07-13,1847.462402
1928-07-14,1820.687622
1928-07-15,1772.49292
1928-07-16,1756.427979
1928-07-17,1756.427979
1928-07-18,1745.71814
1928-07-19,1713.588257
1928-07-20,1665.393677
1928-07-21,1654.683716
1928-07-22,1622.553955
1928-07-23,1574.359253
1928-07-24,1563.649292
1928-07-25,1531.519531
1928-07-26,1531.519531
1928-07-27,1563.649292
1928-07-28,1574.359253
1928-07-29,1590.424194
1928-07-30,1606.489014
1928-07-31,1606.489014
1928-08-01,1771.170654
1928-08-02,1753.280029
1928-08-03,1705.571655
1928-08-04,1705.571655
1928-08-05,1687.68103
1928-08-06,1669.790405
1928-08-07,1622.082153
1928-08-08,1538.592651
1928-08-09,1455.103149
1928-08-10,1389.50415
1928-08-11,1365.650024
1928-08-12,1353.723023
1928-08-13,1311.978272
1928-08-14,1288.124023
1928-08-15,1240.415772
1928-08-16,1049.58252
1928-08-17,983.9836426
1928-08-18,936.2753906
1928-08-19,900.4941406
1928-08-20,834.8952026
1928-08-21,870.6764526
1928-08-22,876.6400146
1928-08-23,882.6035156
1928-08-24,894.5305786
1928-08-25,912.4212036
1928-08-26,912.4212036
1928-08-27,811.0410767
1928-08-28,715.6245117
1928-08-29,721.5880127
1928-08-30,745.4421997
1928-08-31,751.4057007
1928-09-01,767.8365479
1928-09-02,855.4780884
1928-09-03,908.0629883
1928-09-04,913.9057617
1928-09-05,855.4780884
1928-09-06,808.7359619
1928-09-07,715.2516479
1928-09-08,603.0705566
1928-09-09,563.3397217
1928-09-10,573.2723999
1928-09-11,578.5308838
1928-09-12,578.5308838
1928-09-13,543.4743042
1928-09-14,593.1378174
1928-09-15,535.2944336
1928-09-16,475.6982117
1928-09-17,434.7988281
1928-09-18,411.4277649
1928-09-19,406.169281
1928-09-20,389.8095398
1928-09-21,385.1353149
1928-09-22,379.8768311
1928-09-23,389.8095398
1928-09-24,397.9894104
1928-09-25,389.8095398
1928-09-26,389.8095398
1928-09-27,434.7988281
1928-09-28,416.1019897
1928-09-29,397.9894104
1928-09-30,416.1019897
1928-10-01,313.4451599
1928-10-02,283.2311401
1928-10-03,286.5882568
1928-10-04,246.862381
1928-10-05,241.8267059
1928-10-06,226.1601715
1928-10-07,221.684021
1928-10-08,216.6483459
1928-10-09,254.6956482
1928-10-10,246.862381
1928-10-11,241.8267059
1928-10-12,235.6719971
1928-10-13,216.6483459
1928-10-14,194.8270874
1928-10-15,191.4699707
1928-10-16,191.4699707
1928-10-17,231.1958466
1928-10-18,239.0291138
1928-10-19,241.8267059
1928-10-20,246.862381
1928-10-21,239.0291138
1928-10-22,235.6719971
1928-10-23,226.1601715
1928-10-24,204.338913
1928-10-25,194.8270874
1928-10-26,181.9581451
1928-10-27,191.4699707
1928-10-28,181.9581451
1928-10-29,181.9581451
1928-10-30,181.9581451
1928-10-31,181.9581451
1928-11-01,147.0808105
1928-11-02,136.7945709
1928-11-03,136.7945709
1928-11-04,144.0554504
