DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,,,,,,,,,,,,,,,,,,,,
74668.69278,55163.48251,34360.79433,17856.03712,12576.64425,11172.41182,10397.37973,29852.18601,93319.58379,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,89863.79583,68966.52938,47872.46085,26778.10915,19489.636,10877.06711,7766.744683,18546.11868,62725.49639,99935.81499,98944.15902,99935.81499,97809.21981,96110.20902,88806.72794,66384.88248,46221.30552,24240.07019,17540.02112,13620.96955,10770.3126,21140.22499,51026.67439,96100.01495,98941.89368,99935.81499,97809.21981,96110.20902,93147.9837,71347.40984,50451.55924,29203.73023,21597.54206,14456.59969,10879.33246,23548.85596,49118.4021,82780.33665,98941.89368,99935.81499,97809.21981,96110.20902,89203.1638,68819.56495,47755.51227,25905.38394,17691.79941,15023.50296,15410.87742,28189.13761,63175.16792,70004.90814,69173.24236,65321.01855,48152.51446,37855.0932,14716.26517,5682.624774,-3207.166045,-10143.37762,-15996.18664,-17846.4094,-17582.49639,-6443.78161,30892.83013,74391.18768
74668.69278,55163.48251,34522.20035,18341.67104,11362.9842,2936.74016,2752.397489,23109.09534,61778.0147,94609.69932,98941.89368,99935.81499,97809.21981,96110.20902,88806.72794,65507.06023,45343.48328,24106.69784,5116.854179,2047.308009,895.6618577,11265.57425,42851.31761,87924.65817,97005.87088,99935.81499,97809.21981,96110.20902,93147.9837,71347.40984,50451.55924,28425.30011,20819.11195,13678.16958,10100.90235,22770.42585,48339.68882,82001.90654,98941.89368,99935.81499,97809.21981,96110.20902,89203.1638,68819.56495,47755.51227,25905.38394,17691.79941,15023.50296,15410.87742,28189.13761,61476.15712,68305.89735,67474.23156,63622.00775,46453.50367,36156.0824,13017.25438,3983.613979,-4906.176841,-11842.38841,-19450.84192,-21301.06468,-21037.15167,-9898.436895,27438.17484,70936.5324,83421.71323,88289.94549,97809.21981,96110.20902,88988.5221,68756.98472,48467.3978,26875.80227,20447.87809,17516.51813,16499.66017,28945.76375,64087.81988,99935.81499
74668.69278,55163.48251,34801.40446,18720.83362,11251.41582,10547.45902,12478.38479,30117.51487,95157.6303,99935.81499,99935.81499,99935.81499,97809.21981,96110.20902,93147.9837,71347.40984,50451.55924,29203.73023,21597.54206,14456.59969,10879.33246,23548.85596,49118.4021,82780.33665,98941.89368,99935.81499,97809.21981,96110.20902,89203.1638,68819.56495,47755.51227,25110.53005,16896.94553,14228.36591,14616.02354,27394.00056,60681.30324,67510.7603,66679.37768,62826.8707,45658.36661,35360.94535,12222.40049,3188.476926,-5701.030724,-12637.52547,-18490.05132,-20340.27408,-20076.36107,-8937.929458,28398.96545,71897.323,84382.50383,89250.7361,97809.21981,96110.20902,88988.5221,68756.98472,48467.3978,26875.80227,20447.87809,18366.02353,17349.16557,29795.26915,64937.32528,99935.81499,99935.81499,99935.81499,95077.21045,95181.13328,71418.7683,46165.23817,24680.96349,2672.543981,-2641.678619,-4811.881741,-124.8772935,32380.31408,67972.89123,95471.09779
74668.69278,55163.48251,33978.80007,17394.47252,9482.462418,0,-294.2120361,19860.58669,65580.1177,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,89203.1638,68819.56495,47755.51227,25905.38394,17691.79941,15023.50296,15410.87742,28189.13761,61476.15712,68305.89735,67474.23156,63622.00775,46453.50367,36156.0824,13017.25438,3983.613979,-4906.176841,-12102.62023,-17955.42926,-19805.36884,-19541.739,-8403.024226,28933.58751,72431.94507,84917.40907,89785.35816,97809.21981,96110.20902,88988.5221,68756.98472,48467.3978,26875.80227,20447.87809,18366.02353,17349.16557,29795.26915,64937.32528,99935.81499,99935.81499,99935.81499,95077.21045,95181.13328,71418.7683,46165.23817,24680.96349,2672.543981,-2641.678619,-4811.881741,-124.8772935,32380.31408,67972.89123,95471.09779,98941.89368,99935.81499,91651.43835,92897.3796,85267.68846,66309.55966,46512.40271,30358.20806,24208.35532,20310.54139,21045.36356,46816.52564,74752.51064,97834.98814
74668.69278,55163.48251,34205.61801,17649.32414,10336.49851,8803.424437,9519.840656,30334.42191,63546.96811,99935.81499,99935.81499,98736.0302,99355.03647,93446.72643,70307.8984,45473.45761,24294.15537,7843.200169,1990.674315,140.4515591,404.3645693,11542.79618,48879.69108,92378.04864,98941.89368,99935.81499,97809.21981,96110.20902,88988.5221,68756.98472,48467.3978,26111.53058,19683.6064,17601.75184,16584.89388,29030.99746,64173.05359,99935.81499,99935.81499,99935.81499,95077.21045,95181.13328,71418.7683,46165.23817,24680.96349,2672.543981,-2641.678619,-4811.881741,-124.8772935,32380.31408,67972.89123,95471.09779,98941.89368,99935.81499,91651.43835,92897.3796,85267.68846,66309.55966,46512.40271,30358.20806,24208.35532,20310.54139,21045.36356,46816.52564,74752.51064,97834.98814,98941.89368,99935.81499,97809.21981,96110.20902,88997.30032,68319.7726,47155.19512,25284.11232,17895.11437,8361.68163,4694.08366,16744.31773,61599.90174,99935.81499
74668.69278,55163.48251,34175.31898,17942.68667,10238.80539,8228.309283,9180.321665,30511.4022,84052.04623,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,88988.5221,68756.98472,34422.24189,12830.64636,8158.366672,6076.51211,5059.654149,17505.75773,52647.81386,89217.88856,98179.88734,99935.81499,95077.21045,95181.13328,71418.7683,46165.23817,24680.96349,1885.052478,-3429.170122,-5599.373245,-912.3687972,31592.82257,67185.39973,94683.60629,98941.89368,99935.81499,91651.43835,92897.3796,85267.68846,66309.55966,46512.40271,30358.20806,24208.35532,20310.54139,21045.36356,46816.52564,74752.51064,97834.98814,98941.89368,99935.81499,97809.21981,96110.20902,88997.30032,68319.7726,47155.19512,25284.11232,17895.11437,8361.68163,4694.08366,16744.31773,61599.90174,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,87439.02425,66687.3064,46269.44416,30590.4062,24071.30178,21645.11437,20313.93941,36787.83125,71384.50491,99935.81499
74668.69278,55163.48251,34289.43588,17959.11045,12138.01629,11282.84752,12529.35511,28867.60926,74320.9619,95543.87209,98941.89368,99935.81499,97883.12678,96110.20902,79993.39261,56495.2238,35011.23229,13002.52962,5932.662529,2913.237177,7600.241625,40105.14983,75698.01015,99935.81499,98941.89368,99935.81499,91651.43835,92897.3796,85267.68846,66309.55966,46512.40271,29800.64935,23650.79661,20602.77124,21337.31024,47108.47233,75044.45733,98126.93483,98941.89368,99935.81499,97809.21981,96110.20902,88997.30032,68319.7726,47155.19512,25284.11232,17895.11437,8361.68163,4694.08366,16744.31773,61599.90174,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,87439.02425,66687.3064,46269.44416,30590.4062,24071.30178,21645.11437,20313.93941,36787.83125,71384.50491,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90340.08519,69601.67625,48926.69705,26762.53488,19579.11724,16722.23059,16280.77095,19818.39459,55702.63527,94369.28929
74668.69278,55163.48251,34226.00614,17916.63518,9950.823061,6807.653089,7215.982017,25776.54228,79123.49908,99935.81499,98941.89368,99935.81499,92922.01526,94167.95651,86538.26536,67580.13657,47782.97961,31628.78497,25478.93223,21581.11829,20616.92967,46388.09175,74324.07676,97406.55425,98941.89368,99935.81499,97809.21981,96110.20902,88997.30032,68319.7726,47155.19512,24517.00895,17127.72783,7594.295088,3926.980285,15977.21435,60832.5152,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,87439.02425,66687.3064,46269.44416,30590.4062,24071.30178,21645.11437,20313.93941,36787.83125,71384.50491,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90340.08519,69601.67625,48926.69705,26762.53488,19579.11724,16722.23059,16280.77095,19818.39459,55702.63527,94369.28929,98941.89368,99935.81499,97809.21981,96110.20902,87482.06586,65866.96735,43411.99117,20921.9021,13110.13364,10623.9145,9675.86648,32485.08641,64810.74897,95543.87209
74668.69278,55163.48251,34528.43006,18039.53029,10855.54631,7529.732677,10595.59766,46559.1255,92110.73761,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,88997.30032,68319.7726,47155.19512,25284.11232,17895.11437,8361.68163,4694.08366,16744.31773,61599.90174,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,87439.02425,66687.3064,46269.44416,30024.06927,23504.96485,21078.77743,19747.60248,36221.49432,70817.88481,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90340.08519,69601.67625,48926.69705,26762.53488,19579.11724,16722.23059,16280.77095,19818.39459,55702.63527,94369.28929,98941.89368,99935.81499,97809.21981,96110.20902,87482.06586,65866.96735,43411.99117,20921.9021,13110.13364,10623.9145,9675.86648,32485.08641,64810.74897,98652.77867,99935.81499,92717.28446,80776.07025,79310.1071,69831.04271,48635.88303,27134.61825,10772.86112,6565.260882,5137.525477,4490.202364,22825.6437,76555.1611,99935.81499
74668.69278,55163.48251,34747.88562,19638.01628,12958.35534,9326.153425,8947.840355,34372.97057,71306.63358,99935.81499,99644.71781,99935.81499,97809.21981,96110.20902,87439.02425,66687.3064,46269.44416,30590.4062,24071.30178,21645.11437,20313.93941,36787.83125,71384.50491,99935.81499,98941.89368,99935.81499,97809.21981,96110.20902,90340.08519,69601.67625,48926.69705,25954.08891,18770.67127,15913.78462,15472.04181,19009.94862,54894.1893,93560.56015,98941.89368,99935.81499,97809.21981,96110.20902,87482.06586,65866.96735,43411.99117,20921.9021,13110.13364,10623.9145,9675.86648,32485.08641,64810.74897,95543.87209,98899.41841,95305.44424,83364.23003,81898.26688,72419.20249,51224.04281,29722.49486,13361.0209,7397.776172,5970.040767,5322.717654,23657.87582,77387.67639,99935.81499,98941.89368,99935.81499,90593.52096,89158.70635,79911.84009,58506.00308,36847.86296,20466.28404,14429.69869,13435.77737,13859.68056,40497.62132,83532.14893,95783.43261
