DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
97081.47825,94342.10648,76224.13826,59834.91355,58030.84723,71574.22881,90389.07463,98841.08713,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,89373.6325,94369.57382,94369.57382,94369.57382,96680.79487,99209.77248,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,89373.6325,94369.57382,94369.57382,94369.57382,96680.79487,99209.77248,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,89373.6325,94369.57382,94369.57382,94369.57382,96680.79487,99209.77248,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,71570.83079,41689.478,42501.03883,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,89373.6325,94369.57382,94369.57382,94369.57382,96680.79487,99209.77248,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,71570.83079,41689.478,42501.03883,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45607.11378,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,89373.6325,94369.57382,94369.57382,94369.57382,96680.79487,99209.77248,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,71570.83079,41689.478,42501.03883,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45607.11378,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45271.27597,59374.19845,68152.42102,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,71570.83079,41689.478,42501.03883,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45607.11378,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45271.27597,59374.19845,68152.42102,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,71570.83079,41689.478,42501.03883,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45607.11378,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45271.27597,59374.19845,68152.42102,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,45607.11378,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,45271.27597,59374.19845,68152.42102,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,45271.27597,59374.19845,68152.42102,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
97081.47825,94342.10648,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459,97082.04459,94369.57382,76224.13826,59834.91355,41689.478,41689.478,64988.86288,95854.22611,99937.23227,99937.23227,99937.23227,97082.04459
