DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
3.103,2.835,2.65,3.585,8.843,51.438,51.37,18.029,7.649,9.772,9.377,4.725,2.967,2.367,2.48,2.855,10.471,41.254,55.629,26.707,9.066,6.842,16.778,3.935,2.705,2.358,1.802,1.579,2.952,28.901,50.937,24.271,8.101,5.782,4.261,6.276,4.301,2.76,2.017,1.843,6.323,51.799,61.568,39.525,34.526,11.279,9.261,6.244,4.037,3.13,3.692,3.571,12.55,43.609,39.881,23.363,10.879,11.27,12.512,6.035
2.967,2.367,2.48,2.855,10.471,41.254,55.629,26.707,9.066,6.842,16.778,3.935,2.705,2.358,1.809,1.579,2.952,28.901,50.937,24.271,8.101,5.782,4.261,6.276,4.301,2.76,2.011,1.843,6.323,51.799,61.568,39.525,34.526,11.279,9.261,6.244,4.037,3.13,3.692,3.571,12.55,43.609,39.881,23.363,10.879,11.27,12.512,6.035,2.631,2.156,1.789,1.699,5.266,26.854,30.143,11.537,8.244,8.46,9.742,15.732
2.705,2.358,1.809,1.579,2.952,28.901,50.937,24.271,8.101,5.782,4.261,6.276,4.301,2.76,2.017,1.843,6.323,51.799,61.568,39.525,34.526,11.279,9.261,6.244,4.037,3.13,3.697,3.571,12.55,43.609,39.881,23.363,10.879,11.27,12.512,6.035,2.631,2.156,1.789,1.699,5.266,26.854,30.143,11.537,8.244,8.46,9.742,15.732,3.96,2.089,1.347,2.054,5.247,37.284,59.574,18.075,5.947,5.118,5.723,3.686
4.301,2.76,2.017,1.843,6.323,51.799,61.568,39.525,34.526,11.279,9.261,6.244,4.037,3.13,3.692,3.571,12.55,43.609,39.881,23.363,10.879,11.27,12.512,6.035,2.631,2.156,1.782,1.699,5.266,26.854,30.143,11.537,8.244,8.46,9.742,15.732,3.96,2.089,1.347,2.054,5.247,37.284,59.574,18.075,5.947,5.118,5.723,3.686,2.056,1.291,1.23,1.129,5.059,27.609,35.322,16.389,9.167,13.029,10.328,8.358
4.037,3.13,3.692,3.571,12.55,43.609,39.881,23.363,10.879,11.27,12.512,6.035,2.631,2.156,1.789,1.699,5.266,26.854,30.143,11.537,8.244,8.46,9.742,15.732,3.96,2.089,1.345,2.054,5.247,37.284,59.574,18.075,5.947,5.118,5.723,3.686,2.056,1.291,1.23,1.129,5.059,27.609,35.322,16.389,9.167,13.029,10.328,8.358,4.748,4.007,4.164,4.582,7.126,56.227,33.612,12.143,6.68,3.823,4.864,8.587
2.631,2.156,1.789,1.699,5.266,26.854,30.143,11.537,8.244,8.46,9.742,15.732,3.96,2.089,1.347,2.054,5.247,37.284,59.574,18.075,5.947,5.118,5.723,3.686,2.056,1.291,1.227,1.129,5.059,27.609,35.322,16.389,9.167,13.029,10.328,8.358,4.748,4.007,4.164,4.582,7.126,56.227,33.612,12.143,6.68,3.823,4.864,8.587,3.192,1.712,1.447,1.241,2.253,31.135,53.052,40.851,15.936,12.303,10.506,6.796
3.96,2.089,1.347,2.054,5.247,37.284,59.574,18.075,5.947,5.118,5.723,3.686,2.056,1.291,1.23,1.129,5.059,27.609,35.322,16.389,9.167,13.029,10.328,8.358,4.748,4.007,4.18,4.582,7.126,56.227,33.612,12.143,6.68,3.823,4.864,8.587,3.192,1.712,1.447,1.241,2.253,31.135,53.052,40.851,15.936,12.303,10.506,6.796,3.363,1.972,1.749,1.875,8.29,33.621,31.582,37.945,8.977,8.974,8.968,8.122
2.056,1.291,1.23,1.129,5.059,27.609,35.322,16.389,9.167,13.029,10.328,8.358,4.748,4.007,4.164,4.582,7.126,56.227,33.612,12.143,6.68,3.823,4.864,8.587,3.192,1.712,1.436,1.241,2.253,31.135,53.052,40.851,15.936,12.303,10.506,6.796,3.363,1.972,1.749,1.875,8.29,33.621,31.582,37.945,8.977,8.974,8.968,8.122,3.298,2.83,3.061,3.323,6.394,24.073,44.356,17.14,7.408,13.057,20.907,7.24
4.748,4.007,4.164,4.582,7.126,56.227,33.612,12.143,6.68,3.823,4.864,8.587,3.192,1.712,1.447,1.241,2.253,31.135,53.052,40.851,15.936,12.303,10.506,6.796,3.363,1.972,1.746,1.875,8.29,33.621,31.582,37.945,8.977,8.974,8.968,8.122,3.298,2.83,3.061,3.323,6.394,24.073,44.356,17.14,7.408,13.057,20.907,7.24,3.299,2.396,1.787,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627
3.192,1.712,1.447,1.241,2.253,31.135,53.052,40.851,15.936,12.303,10.506,6.796,3.363,1.972,1.749,1.875,8.29,33.621,31.582,37.945,8.977,8.974,8.968,8.122,3.298,2.83,3.061,3.323,6.394,24.073,44.356,17.14,7.408,13.057,20.907,7.24,3.299,2.396,1.787,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627,2.566,2.339,2.062,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113
3.363,1.972,1.749,1.875,8.29,33.621,31.582,37.945,8.977,8.974,8.968,8.122,3.298,2.83,3.061,3.323,6.394,24.073,44.356,17.14,7.408,13.057,20.907,7.24,3.299,2.396,1.793,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627,2.566,2.339,2.062,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113,3.028,3.309,2.871,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747
3.298,2.83,3.061,3.323,6.394,24.073,44.356,17.14,7.408,13.057,20.907,7.24,3.299,2.396,1.787,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627,2.566,2.339,2.087,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113,3.028,3.309,2.871,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747,3.45,2.136,2.121,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301
3.299,2.396,1.787,2.019,4.75,36.458,37.625,13.448,7.069,14.402,9.505,4.627,2.566,2.339,2.062,3.262,6.054,35.452,51.358,24.36,6.651,3.967,6.854,4.113,3.028,3.309,2.853,2.111,8.992,48.85,45.703,15.371,25.431,5.565,4.627,10.747,3.45,2.136,2.121,2.494,9.119,37.406,33.576,12.1,7.255,4.23,6.553,5.301,4.233,3.196,2.383,2.094,5.51,41.456,39.188,14.669,11.782,5.882,7.335,12.944
