DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
119.576,45.41,41.287,75.561,121.558,417.068,1082.057,699.081,481.185,247.395,101.833,76.179,60.773,44.142,46.888,49.13,145.966,381.928,891.963,688.376,415.721,211.273,75.686,41.689,27.16,25.311,15.848,18.312,70.319,379.47,726.992,637.409,266.953,151.729,123.165,168.295,108.906,63.643,53.663,51.428,107.494,502.593,562.922,700.336,584.202,355.662,114.749,54.68,38.659,29.753,32.382,32.749,123.449,324.202,587.335,394.848,335.119,178.241,75.643,54.018
122.21,71.281,52.061,59.71,101.017,462.833,737.874,545.156,285.565,157.868,75.686,41.689,27.16,25.311,15.721,18.312,70.319,379.47,726.992,637.409,266.953,151.729,123.165,168.295,108.906,63.643,53.657,51.428,107.494,502.593,562.922,700.336,584.202,355.662,114.749,54.68,38.659,29.753,32.382,32.749,123.449,324.202,587.335,394.848,335.119,178.241,75.643,54.018,34.498,29.521,26.617,34.568,108.498,398.75,812.329,555.735,270.678,349.623,149.222,121.971
124.578,57.043,54.145,55.431,172.674,384.048,1017.04,716.668,421.825,185.558,123.165,168.295,108.906,63.643,53.663,51.428,107.494,502.593,562.922,700.336,584.202,355.662,114.749,54.68,38.659,29.753,32.493,32.749,123.449,324.202,587.335,394.848,335.119,178.241,75.643,54.018,34.498,29.521,26.617,34.568,108.498,398.75,812.329,555.735,270.678,349.623,149.222,121.971,57.845,13.373,8.166,10.533,41.731,326.629,566.074,450.694,283.512,197.431,112.789,87.458
113.785,49.03,42.056,31.888,68.667,413.525,906.66,706.945,318.174,152.193,114.749,54.68,38.659,29.753,32.382,32.749,123.449,324.202,587.335,394.848,335.119,178.241,75.643,54.018,34.498,29.521,26.57,34.568,108.498,398.75,812.329,555.735,270.678,349.623,149.222,121.971,57.845,13.373,8.166,10.533,41.731,326.629,566.074,450.694,283.512,197.431,112.789,87.458,78.891,50.747,45.397,49.023,228.19,615.758,506.299,393.152,226.04,185.942,152.157,188.2
121.842,60.969,46.489,62.609,116.134,425.964,622.4,658.561,440.789,225.926,75.643,54.018,34.498,29.521,26.617,34.568,108.498,398.75,812.329,555.735,270.678,349.623,149.222,121.971,57.845,13.373,8.161,10.533,41.731,326.629,566.074,450.694,283.512,197.431,112.789,87.458,78.891,50.747,45.397,49.023,228.19,615.758,506.299,393.152,226.04,185.942,152.157,188.2,139.726,105.555,106.429,106.331,155.769,580.031,513.629,520.486,374.944,184.994,99.403,109.867
115.086,50.7,45.689,44.08,113.622,406.016,723.401,468.665,290.887,184.407,149.222,121.971,57.845,13.373,8.166,10.533,41.731,326.629,566.074,450.694,283.512,197.431,112.789,87.458,78.891,50.747,45.515,49.023,228.19,615.758,506.299,393.152,226.04,185.942,152.157,188.2,139.726,105.555,106.429,106.331,155.769,580.031,513.629,520.486,374.944,184.994,99.403,109.867,84.996,57.417,44.778,46.716,70.644,404.771,950.403,589.897,364.104,248.746,117.263,95.827
122.204,63.78,49.582,80.21,179.848,350.369,559.177,390.158,211.122,242.255,112.789,87.458,78.891,50.747,45.397,49.023,228.19,615.758,506.299,393.152,226.04,185.942,152.157,188.2,139.726,105.555,106.451,106.331,155.769,580.031,513.629,520.486,374.944,184.994,99.403,109.867,84.996,57.417,44.778,46.716,70.644,404.771,950.403,589.897,364.104,248.746,117.263,95.827,79.004,90.025,90.275,98.672,182.391,483.381,669.8,683.07,308.127,171.373,88.507,142.866
122.995,50.87,37.444,35.521,119.473,432.004,826.202,608.737,263.915,192.579,152.157,188.2,139.726,105.555,106.429,106.331,155.769,580.031,513.629,520.486,374.944,184.994,99.403,109.867,84.996,57.417,44.784,46.716,70.644,404.771,950.403,589.897,364.104,248.746,117.263,95.827,79.004,90.025,90.275,98.672,182.391,483.381,669.8,683.07,308.127,171.373,88.507,142.866,102.573,49.373,65.94,78.56,134.645,249.624,706.916,631.203,314.556,178.322,104.44,78.512
121.466,54.992,40.444,43.26,153.519,544.456,705.87,490.383,247.315,164.67,99.403,109.867,84.996,57.417,44.778,46.716,70.644,404.771,950.403,589.897,364.104,248.746,117.263,95.827,79.004,90.025,90.317,98.672,182.391,483.381,669.8,683.07,308.127,171.373,88.507,142.866,102.573,49.373,65.94,78.56,134.645,249.624,706.916,631.203,314.556,178.322,104.44,78.512,41.284,28.638,33.691,45.057,127.31,512.669,598.548,421.845,234.423,145.808,138.476,83.937
137.979,65.19,70.824,46.645,122.668,454.707,647.058,692.608,375.148,193.254,117.263,95.827,79.004,90.025,90.275,98.672,182.391,483.381,669.8,683.07,308.127,171.373,88.507,142.866,102.573,49.373,66.085,78.56,134.645,249.624,706.916,631.203,314.556,178.322,104.44,78.512,41.284,28.638,33.691,45.057,127.31,512.669,598.548,421.845,234.423,145.808,138.476,83.937,47.887,33.856,39.442,69.644,138.117,422.983,752.308,478.801,275.397,125.892,98.455,62.057
115.911,59.039,44.595,40.605,57.705,346.397,1142.464,659.627,354.408,282.712,88.507,142.866,102.573,49.373,65.94,78.56,134.645,249.624,706.916,631.203,314.556,178.322,104.44,78.512,41.284,28.638,33.89,45.057,127.31,512.669,598.548,421.845,234.423,145.808,138.476,83.937,47.887,33.856,39.442,69.644,138.117,422.983,752.308,478.801,275.397,125.892,98.455,62.057,44.297,42.306,43.027,65.967,184.217,571.441,700.138,427.142,242.336,156.482,71.166,57.986
117.514,54.878,60.924,58.265,115.934,512.331,689.842,494.07,267.811,194.929,104.44,78.512,41.284,28.638,33.691,45.057,127.31,512.669,598.548,421.845,234.423,145.808,138.476,83.937,47.887,33.856,39.804,69.644,138.117,422.983,752.308,478.801,275.397,125.892,98.455,62.057,44.297,42.306,43.027,65.967,184.217,571.441,700.138,427.142,242.336,156.482,71.166,57.986,40.381,31.823,40.016,48.782,204.758,465.931,656.762,438.61,303.19,160.767,134.394,116.208
117.441,93.67,55.435,71.408,142.09,430.849,783.261,684.391,331.036,204.551,138.476,83.937,47.887,33.856,39.442,69.644,138.117,422.983,752.308,478.801,275.397,125.892,98.455,62.057,44.297,42.306,42.954,65.967,184.217,571.441,700.138,427.142,242.336,156.482,71.166,57.986,40.381,31.823,40.016,48.782,204.758,465.931,656.762,438.61,303.19,160.767,134.394,116.208,45.857,27.947,19.012,24.391,129.806,417.671,655.773,422.149,314.144,151.817,104.228,120.339
130.814,60.985,46.464,44.94,159.408,516.983,714.471,478.167,255.979,155.399,98.455,62.057,44.297,42.306,43.027,65.967,184.217,571.441,700.138,427.142,242.336,156.482,71.166,57.986,40.381,31.823,40.17,48.782,204.758,465.931,656.762,438.61,303.19,160.767,134.394,116.208,45.857,27.947,19.012,24.391,129.806,417.671,655.773,422.149,314.144,151.817,104.228,120.339,62.157,42.526,36.421,43.779,205.319,410.802,681.229,565.081,295.718,140.281,92.244,155.68
126.598,65.811,56.662,104.844,153.474,454.308,746.721,427.952,253.174,156.745,71.166,57.986,40.381,31.823,40.016,48.782,204.758,465.931,656.762,438.61,303.19,160.767,134.394,116.208,45.857,27.947,19.094,24.391,129.806,417.671,655.773,422.149,314.144,151.817,104.228,120.339,62.157,42.526,36.421,43.779,205.319,410.802,681.229,565.081,295.718,140.281,92.244,155.68,62.175,34.162,37.671,34.965,134.631,488.874,653.54,639.831,346.045,176.838,95.07,62.77
123.764,53.022,48.818,86.492,219.23,543.06,1040.112,612.883,243.738,148.484,134.394,116.208,45.857,27.947,19.012,24.391,129.806,417.671,655.773,422.149,314.144,151.817,104.228,120.339,62.157,42.526,36.482,43.779,205.319,410.802,681.229,565.081,295.718,140.281,92.244,155.68,62.175,34.162,37.671,34.965,134.631,488.874,653.54,639.831,346.045,176.838,95.07,62.77,48.72,28.597,35.424,65.582,205.349,503.285,689.704,355.268,214.091,161.005,164.109,87.287
116.563,53.657,51.595,78.134,171.953,465.398,910.602,573.434,372.252,167.877,104.228,120.339,62.157,42.526,36.421,43.779,205.319,410.802,681.229,565.081,295.718,140.281,92.244,155.68,62.175,34.162,37.493,34.965,134.631,488.874,653.54,639.831,346.045,176.838,95.07,62.77,48.72,28.597,35.424,65.582,205.349,503.285,689.704,355.268,214.091,161.005,164.109,87.287,39.443,34.932,27.877,37.323,115.449,535.746,424.405,297.999,268.838,128.497,73.972,51.978
118.061,47.76,41.715,73.669,136.057,426.095,753.586,407.727,272.344,134.683,92.244,155.68,62.175,34.162,37.671,34.965,134.631,488.874,653.54,639.831,346.045,176.838,95.07,62.77,48.72,28.597,35.355,65.582,205.349,503.285,689.704,355.268,214.091,161.005,164.109,87.287,39.443,34.932,27.877,37.323,115.449,535.746,424.405,297.999,268.838,128.497,73.972,51.978,50.097,36.795,33.331,45.754,227.489,524.163,606.114,511.796,262.463,148.682,81.287,51.085
121.861,61.968,45.304,65.219,149.534,403.839,718.193,587.668,282.555,135.134,95.07,62.77,48.72,28.597,35.424,65.582,205.349,503.285,689.704,355.268,214.091,161.005,164.109,87.287,39.443,34.932,28.101,37.323,115.449,535.746,424.405,297.999,268.838,128.497,73.972,51.978,50.097,36.795,33.331,45.754,227.489,524.163,606.114,511.796,262.463,148.682,81.287,51.085,36.469,26.086,40.983,39.284,110.015,448.012,675.385,470.928,295.706,177.249,192.109,129.05
115.694,56.354,86.593,51.819,149.937,482.454,603.207,523.272,316.605,163.239,164.109,87.287,39.443,34.932,27.877,37.323,115.449,535.746,424.405,297.999,268.838,128.497,73.972,51.978,50.097,36.795,33.425,45.754,227.489,524.163,606.114,511.796,262.463,148.682,81.287,51.085,36.469,26.086,40.983,39.284,110.015,448.012,675.385,470.928,295.706,177.249,192.109,129.05,100.429,46.013,36.812,49.858,173.505,369.055,736.108,749.279,330.851,190.504,136.025,86.622
