DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
33.881,27.579,21.395,20.25,77.089,230.372,320.941,183.257,62.038,53.165,37.585,16.861,12.729,13.629,15.526,16.273,73.079,178.64,212.214,347.719,96.378,87.219,76.723,43.782,19.333,7.368,4.227,3.628,15.485,127.146,205.975,163.329,83.17,36.437,24.185,13.901,17.494,12.048,10.909,10.431,21.189,151.06,335.751,310.68,874.215,164.458,165.622,47.364,30.635,22.535,24.47,20.96,57.225,199.582,365.735,242.742,158.288,130.249,105.251,47.888
15.515,13.629,15.526,16.273,73.079,178.64,212.214,347.719,96.378,87.219,76.723,43.782,19.333,7.368,4.248,3.628,15.485,127.146,205.975,163.329,83.17,36.437,24.185,13.901,17.494,12.048,10.894,10.431,21.189,151.06,335.751,310.68,874.215,164.458,165.622,47.364,30.635,22.535,24.47,20.96,57.225,199.582,365.735,242.742,158.288,130.249,105.251,47.888,24.731,19.946,15.926,14.65,28.298,195.622,306.404,87.69,56.036,71.976,51.274,43.277
20.228,7.368,4.248,3.628,15.485,127.146,205.975,163.329,83.17,36.437,24.185,13.901,17.494,12.048,10.909,10.431,21.189,151.06,335.751,310.68,874.215,164.458,165.622,47.364,30.635,22.535,24.508,20.96,57.225,199.582,365.735,242.742,158.288,130.249,105.251,47.888,24.731,19.946,15.926,14.65,28.298,195.622,306.404,87.69,56.036,71.976,51.274,43.277,22.702,11.03,7.985,9.754,23.85,89.913,194.806,303.62,89.468,198.242,100.453,46.084
19.391,12.048,10.909,10.431,21.189,151.06,335.751,310.68,874.215,164.458,165.622,47.364,30.635,22.535,24.47,20.96,57.225,199.582,365.735,242.742,158.288,130.249,105.251,47.888,24.731,19.946,15.886,14.65,28.298,195.622,306.404,87.69,56.036,71.976,51.274,43.277,22.702,11.03,7.985,9.754,23.85,89.913,194.806,303.62,89.468,198.242,100.453,46.084,19.147,9.948,7.263,10.145,21.512,59.63,272.823,220.018,97.483,114.374,92.936,41.183
30.092,22.535,24.47,20.96,57.225,199.582,365.735,242.742,158.288,130.249,105.251,47.888,24.731,19.946,15.926,14.65,28.298,195.622,306.404,87.69,56.036,71.976,51.274,43.277,22.702,11.03,7.99,9.754,23.85,89.913,194.806,303.62,89.468,198.242,100.453,46.084,19.147,9.948,7.263,10.145,21.512,59.63,272.823,220.018,97.483,114.374,92.936,41.183,28.888,22.026,16.676,15.537,90.709,569.511,390.778,163.087,77.751,72.639,41.584,28.934
24.414,19.946,15.926,14.65,28.298,195.622,306.404,87.69,56.036,71.976,51.274,43.277,22.702,11.03,7.985,9.754,23.85,89.913,194.806,303.62,89.468,198.242,100.453,46.084,19.147,9.948,7.242,10.145,21.512,59.63,272.823,220.018,97.483,114.374,92.936,41.183,28.888,22.026,16.676,15.537,90.709,569.511,390.778,163.087,77.751,72.639,41.584,28.934,22.146,15.258,13.263,12.26,47.823,254.971,306.715,192.656,105.398,64.458,44.317,39.135
22.725,11.03,7.985,9.754,23.85,89.913,194.806,303.62,89.468,198.242,100.453,46.084,19.147,9.948,7.263,10.145,21.512,59.63,272.823,220.018,97.483,114.374,92.936,41.183,28.888,22.026,16.652,15.537,90.709,569.511,390.778,163.087,77.751,72.639,41.584,28.934,22.146,15.258,13.263,12.26,47.823,254.971,306.715,192.656,105.398,64.458,44.317,39.135,27.013,19.057,15.791,13.392,40.38,132.681,298.526,349.66,96.556,47.205,37.196,21.958
20.059,9.948,7.263,10.145,21.512,59.63,272.823,220.018,97.483,114.374,92.936,41.183,28.888,22.026,16.676,15.537,90.709,569.511,390.778,163.087,77.751,72.639,41.584,28.934,22.146,15.258,13.211,12.26,47.823,254.971,306.715,192.656,105.398,64.458,44.317,39.135,27.013,19.057,15.791,13.392,40.38,132.681,298.526,349.66,96.556,47.205,37.196,21.958,14.255,11.644,12.736,14.546,24.356,170.62,537.218,162.083,60.291,88.239,76.745,36.331
29.173,22.026,16.676,15.537,90.709,569.511,390.778,163.087,77.751,72.639,41.584,28.934,22.146,15.258,13.263,12.26,47.823,254.971,306.715,192.656,105.398,64.458,44.317,39.135,27.013,19.057,15.698,13.392,40.38,132.681,298.526,349.66,96.556,47.205,37.196,21.958,14.255,11.644,12.736,14.546,24.356,170.62,537.218,162.083,60.291,88.239,76.745,36.331,24.709,17.958,13.233,13.141,33.541,96.675,239.48,164.72,55.198,145.43,68.449,25.189
22.932,15.258,13.263,12.26,47.823,254.971,306.715,192.656,105.398,64.458,44.317,39.135,27.013,19.057,15.791,13.392,40.38,132.681,298.526,349.66,96.556,47.205,37.196,21.958,14.255,11.644,12.731,14.546,24.356,170.62,537.218,162.083,60.291,88.239,76.745,36.331,24.709,17.958,13.233,13.141,33.541,96.675,239.48,164.72,55.198,145.43,68.449,25.189,22.017,18.91,14.053,13.288,30.275,157.729,197.321,272.683,119.917,57.195,78.383,40.888
