DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,
165982.0304,131887.9803,78257.57104,38049.34731,32500.37798,35786.2649,81627.84217,158514.0283,201295.9703,201106.2474,193582.4611,185464.5874,165982.0304,131888.5466,78831.8367,39323.60543,19489.63628,14540.41777,28647.3046,125904.6305,201295.9703,201295.9703,193582.4611,184263.3868,163948.0313,131888.5466,78138.07395,34044.77881,21221.21148,19221.75891,58278.61964,139544.2893,197463.0019,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79969.60761,39363.53218,21597.54238,11172.41198,42034.66036,83864.58992,184143.3234,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78573.58706,38049.34731,34618.7613,39029.11022,67220.79676,103763.4046,113242.186,102666.6932,89112.55117,77019.84166,77019.84166
165982.0304,131887.9803,79701.44707,39180.03901,11362.98436,14380.71075,41116.62818,120047.5738,195972.6862,201295.9703,193582.4611,184164.561,158539.5135,120931.909,67181.15317,27413.53958,14589.68908,12600.43058,51657.57448,132923.5273,189287.645,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79969.60761,37889.07396,20819.11225,10393.98186,42259.49613,84089.14251,183364.8932,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78573.58706,38049.34731,26422.16677,32976.66734,65922.18615,102840.2754,113308.1643,102745.414,89185.32547,77015.8773,45041.62634,40971.07959,19875.87808,9566.56359,1175.715487,7514.724857,48377.06775,120931.909,172299.5189,189652.9323,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,80464.30293,40354.05549,31419.52393,40795.23197,90966.45515,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79969.60761,39363.53218,21597.54238,11172.41198,42034.66036,83864.58992,184143.3234,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78573.58706,38049.34731,26422.44994,33064.44957,65724.81773,102550.0277,112806.3897,102219.0038,88687.5153,76613.21174,44735.52123,40152.72271,19943.83851,17562.95801,17950.33248,29336.53666,56944.04664,125995.8107,173260.3096,190613.7229,193582.4611,188488.2604,165982.0304,131888.5466,78402.27013,38049.34731,37707.2798,42760.70432,90426.1697,151175.1511,195570.0206,198234.6359,184001.1728,168292.9683,168292.9683
165982.0304,131887.9803,78124.19869,36305.87904,9482.462555,4901.079879,27017.10372,107107.9074,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78573.58706,38049.34731,26422.16677,32976.66734,65922.18615,102840.2754,113308.1643,102745.414,89185.32547,77015.8773,45041.62634,40971.07959,19876.16125,17397.58763,17784.67893,30281.75301,57478.95188,126612.5517,173794.9316,191148.345,193582.4611,188488.2604,165982.0304,131888.5466,78402.27013,38049.34731,37707.2798,41934.13555,88745.56483,151175.1511,195570.0206,198234.6359,184001.1728,168292.9683,132168.0339,106827.8538,51871.93301,33249.92492,31053.67026,44448.67157,98262.29077,164714.5683,196834.0847,198578.6856,190402.7624,185862.4391,185862.4391
165982.0304,131887.9803,78768.40696,38049.34731,29177.11281,35916.23923,58549.89504,128401.61,170102.4148,183405.6695,178086.9161,162061.2797,135727.1784,131888.5466,77453.08942,35428.62312,35815.99759,45044.45803,77424.77257,146476.5367,193741.0355,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78402.27013,38049.34731,37707.2798,42010.59104,88901.02432,151407.3492,195616.4603,198249.927,184085.2738,168379.3346,132305.6537,106964.0579,52008.13704,33249.92492,22275.44769,44413.84185,98262.29077,165189.725,196834.0847,198568.4916,190369.3485,185828.1758,165982.0304,131888.5466,81371.00837,42174.82875,29152.76032,39378.54011,105726.6116,136125.3132,199197.9751,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,78280.50769,37503.68167,36918.37244,44766.38659,96393.37887,171828.6098,201295.9703,201295.9703,193582.4611,188488.2604,165472.6103,115337.9159,61851.6394,38049.34731,37707.2798,41934.13555,83387.73421,149389.4907,190580.8754,195327.9116,183508.4597,167724.9323,130169.714,104849.0726,49893.15174,33422.65768,22448.46363,44586.85778,97474.79926,165022.0893,196046.5932,198383.8657,189756.2888,185198.6923,165982.0304,131888.5466,81371.00837,42174.82875,29152.76032,35131.01306,105726.6116,136125.3132,199197.9751,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78542.15536,37917.10764,17895.11463,17035.13199,37564.27972,140031.3391,201295.9703,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,78711.77327,38049.34731,39872.95226,48181.68151,94749.5859,171062.6391,196906.859,200747.7561,193582.4611,181558.2784,147834.6126,122339.5394,67383.9018,33249.64175,22275.44769,44414.12501,104885.6013,165190.0082,201295.9703,198801.8224,191143.2479,186623.596,165982.0304,131888.5466,81371.00837,40837.99041,29514.9328,35493.18554,105726.6116,136487.7689,199489.9218,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78542.15536,37917.10764,17895.11463,17035.13199,37564.27972,140031.3391,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79819.81149,40854.98051,35798.15798,37221.36271,91387.52666,161396.117,201295.9703,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,78261.25223,37071.84976,26502.86978,36276.42952,91658.51889,171828.6098,201295.9703,200507.6292,193582.4611,188488.2604,165982.0304,131888.5466,81371.00837,42174.82875,29152.76032,35131.01306,105726.6116,136125.3132,198769.5412,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78542.15536,36501.83163,17127.72808,17035.41516,37847.73136,140314.5076,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79819.81149,40854.98051,35798.15798,38909.32996,96563.84629,161396.117,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79577.70245,39147.75781,30970.7019,40361.98421,69068.75419,152636.8667,195732.2762,201295.9703,193582.4611,188488.2604,188488.2604
165982.0304,131887.9803,78849.10998,37345.10733,20972.02323,28693.74423,105726.6116,170597.9596,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,78542.15536,37917.10764,17895.11463,17035.13199,37564.27972,140031.3391,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79819.81149,39570.52833,35247.3953,39382.78764,97158.21691,161810.6756,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79577.70245,39147.75781,30970.7019,36986.04971,62204.18414,149148.2312,195732.2762,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,75668.56172,38049.34731,27200.03055,34350.03442,98367.06311,158256.345,190834.3111,186927.4358,182139.0569,177104.0384,177104.0384
165982.0304,131887.9803,79675.67874,41834.17708,15005.09723,17508.3065,67471.11768,136333.7252,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79819.81149,40854.98051,35798.15798,38909.32996,96563.84629,161396.117,201295.9703,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,79577.70245,38049.34731,29872.29141,35887.35605,61105.77365,148339.7852,194923.547,201295.9703,193582.4611,188488.2604,165982.0304,131888.5466,75668.56172,38049.34731,30009.06178,40364.24956,98367.06311,161569.4161,192056.7494,188157.5196,183676.3786,179692.1982,165982.0304,131888.5466,77436.66565,38049.34731,34180.13334,43319.67888,89539.85239,171828.6098,201295.9703,199142.7572,189332.1024,182937.8752,182937.8752
