DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,
165982.028,131888.5447,51435.00332,38049.34677,39872.95169,49441.21415,105726.6101,174572.2266,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,27262.32722,16619.15726,10874.23543,14540.13439,28647.02102,125904.6287,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,46151.36291,27595.33334,22771.84169,23920.65616,73469.75749,145693.5737,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,11372.32876,5076.644257,8990.598793,42034.94292,83864.58871,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,64797.72322,38049.34677,39872.95169,49441.21415,105726.6101,174708.7138,201295.9674,201295.9674,193582.4584,188488.2577,34618.7608
165982.028,131888.5447,27262.32722,16619.15726,11000.52856,14380.71054,41116.34442,120047.8553,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,46009.77868,27413.53919,22590.04754,23738.862,73288.24651,145512.0628,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,11471.72089,5176.036389,9089.707756,42259.49552,84089.1413,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,64797.72322,38049.34677,39872.95169,49441.21415,105726.6101,174708.7138,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43566.03482,21340.99143,39872.95169,47283.75361,87968.26612,155708.1097,201295.9674,201295.9674,193582.4584,188488.2577,1175.71547
165982.028,131888.5447,46009.77868,32205.8823,31419.52347,47038.52972,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,17086.38523,11372.32876,5076.644257,8990.598793,42034.94292,83864.58871,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,64939.30746,38049.34677,39872.95169,49441.21415,105726.6101,174708.7138,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43566.03482,21340.99143,39872.95169,47283.75361,87968.26612,155708.1097,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45053.2356,38049.34677,39872.95169,49441.21415,97656.87518,151175.1489,201295.9674,201295.9674,193582.4584,188488.2577,37707.27926
165982.028,131888.5447,17086.38523,10197.17963,3595.106843,4901.079808,24070.16911,107107.9059,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,64797.72322,38049.34677,39872.95169,49441.21415,105726.6101,174708.7138,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43650.98536,21526.46678,39872.95169,47468.94578,88153.45829,155893.3019,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45053.2356,38049.34677,39872.95169,49441.21415,97656.87518,151175.1489,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45045.30688,33249.64127,34173.3368,49441.21415,104885.5998,165189.7226,201295.9674,201295.9674,193582.4584,188488.2577,31053.66981
165982.028,131888.5447,64797.72322,38049.34677,39872.95169,49441.21415,105726.6101,174708.7138,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,43566.03482,21340.99143,39872.95169,47283.75361,87968.26612,155708.1097,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45194.81983,38049.34677,39872.95169,49441.21415,97889.07332,151407.347,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45045.30688,33249.64127,34173.3368,49441.21415,104885.5998,165189.7226,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,34700.31332,24246.86623,29152.7599,42823.00076,105726.6101,136125.3113,201295.9674,201295.9674,193582.4584,188488.2577,29152.7599
165982.028,131888.5447,43566.03482,23416.61629,39872.95169,47005.39901,102458.5629,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45053.2356,38049.34677,39872.95169,49441.21415,97656.87518,151175.1489,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45130.25742,33422.6572,34346.06957,49441.21415,104885.5998,165362.7385,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,34700.31332,24246.86623,29152.7599,42823.00076,105726.6101,136125.3113,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,33401.1364,16619.15726,15005.09701,17508.30625,37564.27918,140031.3371,201295.9674,201295.9674,193582.4584,188488.2577,17895.11437
165982.028,131888.5447,45053.2356,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45045.30688,33249.64127,34173.3368,49441.21415,104885.5998,165189.7226,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,34785.26386,24609.0387,29514.93237,43185.17323,105726.6101,136487.7669,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,33401.1364,16619.15726,15005.09701,17508.30625,37564.27918,140031.3371,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45581.62796,37603.35643,35798.15746,41469.17233,97161.8967,161396.1147,201295.9674,201295.9674,193582.4584,188488.2577,35798.15746
165982.028,131888.5447,45045.30688,35876.31196,37205.22157,43613.32395,100428.245,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,34700.31332,24246.86623,29152.7599,42823.00076,105726.6101,136125.3113,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,33486.08694,16619.15726,15005.09701,17508.30625,37847.73082,140314.7887,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45581.62796,37603.35643,35798.15746,41469.17233,97161.8967,161396.1147,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76518.63237,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,30970.70146
165982.028,131888.5447,34700.31332,19417.71121,20972.02292,40679.13231,105726.6101,170597.9571,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,33401.1364,16619.15726,15005.09701,17508.30625,37564.27918,140031.3371,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45581.62796,38017.6319,36212.7161,41883.44779,97576.17217,161810.6733,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76518.63237,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,37087.14032,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,27200.03017
165982.028,131888.5447,33401.1364,16619.15726,15005.09701,17508.30625,67471.39988,136333.7233,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,45581.62796,37603.35643,35798.15746,41469.17233,97161.8967,161396.1147,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,76660.2166,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,37087.14032,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,165982.028,131888.5447,61571.30172,38049.34677,39872.95169,49441.21415,104885.5998,171828.6073,201295.9674,201295.9674,193582.4584,188488.2577,34180.13285
