DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
0.0,166544.6171392593,167399.2871392593,167089.8671392593,170307.97713925928,176105.08713925927,198134.18517925925,211441.78413125925,220711.69907925924,224492.79307925922,225428.85737925925,207312.87837925923,189838.98605125924,190334.80117925926,190817.13017925926,191727.39017925927,192124.71717925926,198850.89717925925,216404.86417925925,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,194040.7572792593,195180.32927925928,196009.42427925928,195850.3942792593,195880.6192792593,198883.5592792593,216028.0162792593,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,158128.66725925927,157237.40925925926,157011.92625925926,153767.37925925927,158607.98695925926,189463.89895925927,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,158364.40225925925,158430.49425925926,158095.93425925926,155393.2193512593,161930.3693512593,181483.03035125928,208910.57615125924,213932.5869592593,247624.90595925928,260798.59595925928,0.0
0.0,168322.3442792593,170094.9862792593,170439.2962792593,171458.2662792593,176951.3562792593,198134.18517925925,211441.78413125925,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,199816.5072792593,200956.07927925928,201785.17427925928,201607.75427925927,201637.97927925928,204640.91927925928,221785.37627925928,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,194040.7572792593,195180.32927925928,176321.12127925924,177249.62127925924,177400.65327925925,184366.38327925926,215222.29527925927,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,161969.82695925928,162035.9189592593,161701.3589592593,160665.8039592593,167202.9539592593,186755.61495925928,229682.64795925928,228151.86807925932,261844.1870792593,275017.8770792593,220266.9789792593,221750.8869792593,158735.31135125924,158679.38735125924,158010.02735125925,157636.19835125926,163569.92835125927,181483.03035125928,208910.57615125924,228477.51063525924,246144.08435925923,262604.5682592592,0.0
0.0,168914.2672792593,170536.3112792593,171031.5512792593,171458.2662792593,176951.3562792593,198134.18517925925,207922.02231125924,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,199816.5072792593,200956.07927925928,191024.72517925926,191973.68517925925,192124.71717925926,190123.74327925924,220979.65527925926,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,195019.33227925928,195943.33227925928,196009.42427925928,190973.7602792593,189938.2052792593,196475.3552792593,216028.0162792593,255441.04427925928,213718.03767925926,239029.18057925926,252202.87057925927,184786.02857925926,186269.93657925926,164007.89595925924,163951.97195925924,163282.61195925926,162908.78295925926,168842.51295925927,186755.61495925928,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,161541.20135125925,161874.20335125926,161090.12335125927,161151.65835125928,163569.92835125927,181483.03035125928,208910.57615125924,228477.51063525924,246144.08435925923,262604.5682592592,0.0
0.0,172047.95727925928,172565.9672792593,172244.45727925928,171458.2662792593,173219.84677925924,197274.98917925925,207922.02231125924,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,200795.08227925928,201719.08227925928,201785.17427925928,196731.12027925928,195695.5652792593,202232.71527925928,221785.37627925928,261198.40427925927,213449.6203792593,210449.19507925925,223622.88507925926,195147.4902792593,196631.3982792593,196589.9582792593,196534.0342792593,195850.3942792593,192949.82927925928,198883.5592792593,216028.0162792593,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,166813.78595925926,167146.78795925927,166362.70795925928,166424.24295925928,168842.51295925927,186594.72495925927,229682.64795925928,252519.72415925923,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,161541.20135125925,161204.09335125927,161090.12335125927,157636.19835125926,163569.92835125927,181483.03035125928,208910.57615125924,228477.51063525924,248192.35825925923,262604.5682592592,0.0
0.0,172047.95727925928,172415.63727925927,172244.45727925928,170307.97713925928,176105.08713925927,195881.85747925926,207922.02231125924,212402.95507925923,211056.38537925924,225428.85737925925,202976.93177925926,202374.47827925926,202333.03827925926,202277.11427925926,201607.75427925927,198707.18927925927,204640.91927925928,221785.37627925928,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,195249.6022792593,196847.8422792593,197180.8442792593,196403.7542792593,196465.2892792593,198883.5592792593,216028.0162792593,255441.04427925928,267730.94447925925,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,166813.78595925926,166476.67795925928,166362.70795925928,166424.24295925928,168842.51295925927,186594.72495925927,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,161541.20135125925,157237.40925925926,157842.59435125926,161151.65835125928,163569.92835125927,181483.03035125928,208910.57615125924,228477.51063525924,248192.35825925923,262604.5682592592,0.0
0.0,172047.95727925928,172415.63727925927,171599.16127925928,171458.2662792593,173957.19217925926,198134.18517925925,211441.78413125925,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,201013.95227925928,202612.19227925927,202945.19427925927,202161.1142792593,202222.6492792593,204640.91927925928,221785.37627925928,261198.40427925927,252523.97447925922,225329.2541832592,225428.85737925925,207312.87837925923,195249.6022792593,196847.8422792593,196534.0342792593,196403.7542792593,196465.2892792593,198883.5592792593,216028.0162792593,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,166813.78595925926,163768.58895925927,165811.55895925927,166424.24295925928,168842.51295925927,194040.80095925927,229682.64795925928,251338.05015925926,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,161541.20135125925,160742.9693512593,160757.7293512593,160979.6893512593,162658.2493512593,181483.03035125928,208910.57615125924,228477.51063525924,248192.35825925923,262604.5682592592,0.0
0.0,172047.95727925928,171514.2012792593,168572.16627925928,171458.2662792593,176105.08713925927,198134.18517925925,211441.78413125925,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,201013.95227925928,202612.19227925927,202277.11427925926,202161.1142792593,202222.6492792593,204640.91927925928,221785.37627925928,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,195249.6022792593,196847.8422792593,196009.42427925928,195852.6052792593,196465.2892792593,198114.91427925928,219799.19727925927,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,172477.2559592593,173300.73995925928,173315.4999592593,173537.4599592593,175216.01995925928,194040.80095925927,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,161541.20135125925,161874.20335125926,161090.12335125927,157636.19835125926,163569.92835125927,181483.03035125928,208910.57615125924,228477.51063525924,248192.35825925923,262604.5682592592,0.0
0.0,172047.95727925928,172369.6142792593,172166.2442792593,171458.2662792593,176105.08713925927,198134.18517925925,207922.02231125924,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,201013.95227925928,202612.19227925927,201785.17427925928,201609.96527925928,202222.6492792593,203872.27427925926,225556.55727925926,261198.40427925927,252523.97447925922,225329.2541832592,225428.85737925925,207312.87837925923,196265.5022792593,198221.1622792593,199044.6462792593,199073.8962792593,199295.8562792593,200974.41627925928,219799.19727925927,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,172477.2559592593,167146.78795925927,166362.70795925928,168169.82995925928,175216.01995925928,194040.80095925927,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,162550.68035125927,163614.16635125928,163949.8663512593,165364.6133512593,171170.66335125928,181483.03035125928,208910.57615125924,228477.51063525924,248192.35825925923,262604.5682592592,0.0
0.0,172047.95727925928,172565.9672792593,172166.2442792593,171458.2662792593,176951.3562792593,198134.18517925925,211441.78413125925,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,202037.35227925927,203993.01227925927,204816.49627925927,204831.25627925928,205053.21627925927,206731.77627925927,225556.55727925926,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,196500.1142792593,198221.1622792593,197180.8442792593,196403.7542792593,195880.6192792593,200974.41627925928,219799.19727925927,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,172477.2559592593,171787.01295925927,172122.71295925928,173537.4599592593,176845.87595925928,187158.24295925928,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,168263.43935125927,166904.15135125926,165923.09135125927,165671.12335125927,171170.66335125928,168732.90215125924,208910.57615125924,228477.51063525924,251849.1782592592,262604.5682592592,0.0
0.0,172047.95727925928,172565.9672792593,172166.2442792593,171458.2662792593,176951.3562792593,198134.18517925925,207922.02231125924,220711.69907925924,224700.84307925924,225428.85737925925,207312.87837925923,202271.96427925926,203993.01227925927,202945.19427925927,202161.1142792593,201637.97927925928,206731.77627925927,225556.55727925926,261198.40427925927,254188.0327792593,225329.2541832592,225428.85737925925,207312.87837925923,196500.1142792593,198221.1622792593,198172.3222792593,198494.8522792593,199909.5992792593,205715.6492792593,216028.0162792593,255441.04427925928,269684.1176792592,273197.95507925923,260909.80777925925,210839.16948325923,186269.93657925926,176129.77595925928,174770.48795925928,173789.42795925928,173537.4599592593,176845.87595925928,189504.97395925928,229682.64795925928,255649.4624592593,273197.95507925923,276823.8493792592,258707.87037925926,221750.8869792593,168263.43935125927,164138.8063512593,163949.8663512593,160979.6893512593,156373.21635125927,181483.03035125928,208910.57615125924,225797.44393525925,249463.51825925923,262604.5682592592,0.0
